Name,Discount_price,Old_price,Rating_stars
"Micro USB 2.0 Magnetic Adapter For Android Huawei USB Cable, Magnetic Charger For Redmi LG Moto Xiaomi HONOR Charging4G Micro Plug","₦ 48,160",,No rating
Mini Small 8 Pin Male To Micro USB Female Adapter(White),"₦ 1,250",,5
New Age 12500mAh Fast Charging Powerbank,"₦ 11,875",,No rating
Case For Samsung Galaxy Buds Live / Buds 2 / Buds Pro / Buds 2 Pro,"₦ 5,410",,No rating
OTG Type-C Android USB SD Card Reader Adapter Set,"₦ 3,299",,5
11cm USB 3.0 Female To Micro USB + USB-C / Type-C Male Charg,"₦ 5,570",,No rating
TypeC Micro USB OTG Adapter Cable USB 3.0 2.0 Female To Type C Male Cable Adapter Converter USBC Cable For Car MP4 PhoneRed 2 in 1 2.0,"₦ 48,067",,No rating
"Lightning to USB 3 Camera Adapter,ad to OTG Card Reader,with Charging Port,Support KeyboadMouseMidi PianoSDTF for hone3 IN 1","₦ 90,598",,No rating
Ulefone Power Armor 13 Official Charger USB Cable Charge,"₦ 86,740",,No rating
1080P HDMIcompatible TV Digital AV Adapter For Lightning For Iphone 8 7 6s 5s 8plus 8 Pin For Ipad Mini Air Pro,"₦ 112,250",,No rating
Back Cover for Huawei Nova 2s (Black),"₦ 22,950",,No rating
New Age 22500mA 83Wh Quick Charge Type-C Input & Output Strong Power Bank,"₦ 18,049",,No rating
USB 3.0 Female To USB-C / Type-C Male + Micro USB Male Multi-function OTG Adapter With Sling Hole (Silver),"₦ 3,080",,No rating
50cm Usb Cable Charger for MOTOROLA RAZR V3a V3 V3c V3e V3i V3m V3r H700 MING Q Q2 Z6 Z3 Z6tv Z8 V360 V365 W755 SR L7 L71,"₦ 41,138",,No rating
"HAWEEL DIY 4x 18650 Battery Portable 10000mAh Power Bank Shell Box with 2x USB Output and Display for iPhone, Galaxy and other Smartphones, Battery Not IncludedWhite","₦ 17,408",,No rating
Oraimo 20000mAh 15W Power Bank Type-C Input & Output,"₦ 19,999",,No rating
Battery Power Charger Adapter Plug For TOSHIBA Laptop Wireless,"₦ 82,011",,No rating
For UMI UMIDIGI BISON X10 6.53 Cell Phone EU Charger Travel Power Adapter Plug 5V 2A + Type-C USB Data Line Cable-cable,"₦ 79,650",,No rating
YHIGA Ldnio Scw5354 Cord Organizer Strip Box,"₦ 45,750",,No rating
2 In 1 IPhone Dual Lightning Jack AUX Audio And Charge,"₦ 5,110",,No rating
2 In 1 IPhone  Dual Lightning  Jack AUX Audio And Charge,"₦ 4,670",,No rating
2TB USB Flash Drive TypeC Interface Metal Flash Drive 1TB,"₦ 88,694",,No rating
TypeC Female To USB 2.0 Male Aluminum Alloy Adapter Data,"₦ 1,587",,No rating
TypeC Female To USB 2.0 Male Aluminum Alloy Adapter Data,"₦ 5,370",,No rating
TypeC Female To USB 2.0 Male Aluminum Alloy Adapter Data,"₦ 1,420",,No rating
USB OTG USB Drive,"₦ 1,110",,No rating
Ipartsbuy for Samsung Galaxy Grand Prime / G530 (Dual SIM Card Version) Full Housing Cover (Front Housing LCD Frame Bezel Plate + Middle Frame Bazel + Battery Back Cover) + Home Button(White),"₦ 22,950",,No rating
Plastic USB Type-C Male To USB 2.0 Female OTG Data Transmission Charging Adapter(Black),₦ 890,,No rating
BT600 Bluetooth Audio Transmitter Receiver USB Bluetooth Adapter For TV / PC Car Speakers,"₦ 3,480",,No rating
OTG Type-C Android USB SD Card Reader Adapter Set,"₦ 2,132",,4
ThreeinoneTYPEC Mobile Phone To TV Screen Casting Adapter,"₦ 32,751",,No rating
10cm USB 2.0 AF To Micro USB 5 Pin Male OTG Adapter Cable,"₦ 2,260",,No rating
Meenova Lightning-to-MicroUSB USB DAC OTG Cable For IPhone/iPad/iPod Chord Mojo Hugo Pha3 Fiio HiFi Oppo HA2 K5 Camera 15cm 1.2m-L To MicroB OTG 2m,"₦ 54,900",,No rating
"USB-C / Type-C 3.1 Sync Data / Charging Dock Charger for Huawei 6P, LG 5X, Google 5X / 6P, Letv 1S / Le 1 Pro, Xiaomi 4C, Microsoft Lumia 950 / 950X, Nokia N1(Silver)","₦ 22,950",,No rating
LCD Screen and Digitizer Fullembly with Frame for BlackBerry Z10 4G(White),"₦ 41,850",,No rating
Universal 3 In 1 OTG Adapter Data Transmission Converter For  IPhone Andriod Micro USB C Type C To USB A To U Disk AdapterC,"₦ 73,158",,No rating
Micro USB Female to 8 Pin Male Mini Adapter,"₦ 1,239",,No rating
BT600 Bluetooth Audio Transmitter Receiver USB Bluetooth Adapter For TV  PC Car Speakers,"₦ 3,457",,No rating
USB To Type-C & USB-C Converter Adapter,"₦ 2,180",,No rating
ThreeinoneTYPEC Mobile Phone To TV Screen Casting Adapter,"₦ 45,276",,No rating
