Name,Discount_price,Old_price,Rating_stars
LG DVD Player DVD2608,"₦ 22,500","₦ 29,000",No rating
"Sonix 40"" INCHES SMART FULL HD LED TV + HANGER + HDMI [Classy]","₦ 217,850","₦ 320,000",No rating
10 Pieces Impulse Sealer Replacement Parts Impulse Sealer Heating Elements Service Spare Repair Parts Kit for FS-200,"₦ 6,350","₦ 12,701",No rating
Samsung 55Inch Q60C Certified QLED Smart Ultra Slim 4K TV,"₦ 1,300,000","₦ 1,900,000",No rating
LG 75'' SMART SUPER UHD 4K SATELLITE TV+MAGIC REMOTE,"₦ 2,473,999","₦ 2,700,000",No rating
Free To Air Digital Satellite Channels Tiger Decoder,"₦ 30,000","₦ 30,500",2
Sonix 55-Inch 4k UHD Android Smart TV + Free Wall Bracket,"₦ 438,999","₦ 540,000",3.7
"Hisense 43"" LED Full HD Smart TV, Wifi  + W/Bracket","₦ 355,900","₦ 399,000",No rating
Samsung 32Inch Class HDR HD Smart LED TV,"₦ 300,000","₦ 500,000",5
Free To Air Digital Satellite Channels Decoder View-Sat,"₦ 30,000","₦ 35,500",No rating
TX3 MINI Android TV Box 1GB/8GB WiFi 4K Smart TV Box,"₦ 45,000","₦ 50,000",No rating
Samsung 32 Inch Slim High Definition / LED TV,"₦ 200,000","₦ 320,000",4.2
"Hisense 65""inches UHD Smart 4K Netflix TV + Wall Bracket & Warranty","₦ 998,000","₦ 1,000,000",No rating
"Samsung 65"" Class 4K S90C Series Quantum HDR Ultra HD Smart OLED TV","₦ 5,000,000","₦ 5,500,000",No rating
"Hisense 55'' Uhd 4k Smart TV With Bluetooth,Netflix,Youtube","₦ 605,900","₦ 799,000",No rating
"LG 75""Inches UHD, AI Think 4K Smart, Satellite,AV,3HDMI,USB,DTV","₦ 2,264,999","₦ 2,990,000",No rating
UFC 32 Inch Andriod Smart LED TV 2 Years Warranty,"₦ 160,000",No old_price,3.8
"H96 MAX Smart TV Box, Android Multimedia Box, 2+16GB, 4K","₦ 49,500","₦ 62,500",4.3
XIAOMI MI TV STICK 4k,"₦ 85,000",No old_price,5
Samsung 32 Inch Slim HD LED TV,"₦ 169,000","₦ 299,000",No rating
Electronic Pulse Massager,"₦ 22,999","₦ 35,000",4.3
Hisense 40 Inch A4H Series FHD Smart TV,"₦ 339,000","₦ 390,000",No rating
"Retro Men's Thai Silver Pixiu Ruby Ring, Plain Silver Diamond Pestle, Six Character Mantra Mouth Ring Trend","₦ 33,385","₦ 66,677",No rating
Maxi 32'' LED HD TV ONE YEAR WARRANTY,"₦ 155,300","₦ 177,000",4.7
TCL 43-Inch Android Smart Ultrathin Full HD TV With  +12 Months Warranty,"₦ 369,000","₦ 385,000",5
"Sonix 50""INCHES SMART 4K TV + Wall Bracket","₦ 478,711","₦ 595,000",5
"LG 55'' 4K UHD Smart TV+Netflix,YouTube APP+24 MONTHS WARRANTY","₦ 735,000","₦ 890,000",No rating
"Vision 50""INCHES SMART ANDROID TV Vision","₦ 351,290","₦ 1,267,000",1
Wireless On-screen Device Anycast  M9 Plus Android Wireless Push Treasure Wifi HDMI Dongle,"₦ 11,800",No old_price,No rating
"LG 86"" Inches QUANTUM DOT + NANO CELL 4K,SMART,4 HDMI,2 USB,AV","₦ 14,529,800","₦ 16,100,000",No rating
"Hisense 40 INCH UHD SMART, NETFLIX ,YOUTUBE TELEVISION","₦ 365,000","₦ 389,000",No rating
LG Powerful DVD Player Dv 505 With Last Memory-PERFECT,"₦ 22,500","₦ 25,000",No rating
"Android 13.0 Smart Set Top Box, WiFi 6 BT5.0 8K 2+16G TV Box","₦ 48,000","₦ 87,000",3.3
LG Powerful DVD Player Dv 505 With Last Memory-PERFECT,"₦ 26,900","₦ 29,000",3.5
Hisense 65''Smart UHD 4K TV+DSTV Now APP-65+12 MONTHS WARRANTY,"₦ 869,900","₦ 990,000",5
XIAOMI Mi Box -S  4K HDR Android TV With Google Assistant Remote Streaming Media Player 2nd Gen,"₦ 140,000",No old_price,4.2
"LG 65"" Inches QUANTUM DOT + NANO CELL 4K,SMART,4 HDMI,2 USB,AV","₦ 3,529,800","₦ 4,400,000",No rating
HY320 1080P 390ANSI 4K Android 11,"₦ 178,200","₦ 375,200",5
Free To Air Digital Satellite Channels Tiger Decoder,"₦ 30,000","₦ 30,500",No rating
UFC 55 Inch Smart Full HD Tv Jet Black 2024,"₦ 450,990","₦ 489,000",4.1
