Name,Discount_price,Actual_price,Rating_stars
DELL Latitude 5400 TOUCHSCREEN Intel Core I5-512GB SSD/16GB RAM Keyboard BACKLIT /WIN 11 PRO+ BAG,"₦ 475,000","₦ 850,000",2
Hp ProBook 11 X360 TOUCH INTEL CORE I5 512GB SSD- 8GB RAM Windows 11+ 32GB FLASH,"₦ 370,000",No old_price,No rating
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Wins 11 Pro +BAG,"₦ 510,000","₦ 845,100",No rating
"Hp CHROMEBOOK 11 ,INTEL CELERON,4GB RAM,32GB SSD","₦ 140,000",No old_price,No rating
Hp EliteBook 840 G5 TOUCHSCREEN Intel Core I7-32GB RAM/512GB SSD/Backlit Keyboard/ WIN 11 Pro+BAG,"₦ 750,000","₦ 900,000",2
Hp ProBook 11 X360- TOUCH- 256GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 220,000","₦ 349,000",No rating
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Windows 11 Pro,"₦ 569,000","₦ 900,000",No rating
"DELL Dell, CHROMEBOOK 11 G4, INTEL CELERON, 4GB RAM, 16GB SSD,","₦ 155,000","₦ 180,000",No rating
Hp EliteBook X360 830 G6 TOUCHSCREEN Core I5-16GB RAM/512GB SSD/Backlit Keyboard/Windows 11+ BAG,"₦ 590,000","₦ 765,000",3.3
Hp ProBook 11 X360- TOUCH- 512GB SSD/8GB RAM-Intel CELERON QUAD CORE WIN10 Pro +MOUSE,"₦ 340,000",No old_price,No rating
Hp EliteBook 840 G5 Intel Core I5-TOUCHSCREEN 16GB RAM/512GB SSD/Backlit Keyboard/FP Wins 11 Pro + BAG,"₦ 520,000","₦ 580,000",No rating
Hp Notebook 15 Laptop Intel Pentium N200 Quad-Core 8GB RAM 128GB SSD 15.6-inch Windows 11 Red,"₦ 396,999","₦ 900,000",3.7
Hp EliteBook 840 G6 Intel Core I5- 12GB RAM/256GB SSD/Backlit Keyboard/FP Reader Win 11 Pro Laptop+BAG,"₦ 480,000","₦ 930,000",No rating
Hp ELITEBOOK X360 1040 G7 TOUCHSCREEN IntelCORE I7-16GB RAM/512GB SSD/BACKLIGHT KEYBOARD/WIN11 PRO+BAG,"₦ 940,000","₦ 1,300,000",1
Hp EliteBook 840 G5 TOUCHSCREEN Core I5-8GB RAM/256GB SSD/Backlit Keyboard/Windows 11 Pro+BAG,"₦ 515,000","₦ 750,000",No rating
Hp EliteBook 845 G7 AMD RYZEN 7 PRO - 4750U-16GB RAM/512GB SSD/Backlit Key/FP Reader Win11 Pro +BAG,"₦ 630,000","₦ 800,000",No rating
Hp ProBook 11 X360- TOUCH- 256GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 220,000",No old_price,1
Hp PROBOOK 11 X360 TOUCHSCREEN 4GB RAM 128GB SSD INTEL PENTIUM Windows 10,"₦ 300,000",No old_price,3
"Hp Omen 16 Gaming 13th Gen Intel Core I7 16GB RAM/1TB SSD 16.1"" Nvidia RTX 4050 6GB WINS 11","₦ 2,500,000","₦ 2,534,900",5
Hp OMEN TRANSCEND 14 14TH GEN INTEL CORE ULTRA 9 UP TO 5.1GHz 32GB RAM 1TB SSD RTX 4070 (8GB) WINS 11,"₦ 3,999,999","₦ 4,500,000",No rating
"DELL Latitude 3350 Intel Pentium 8GB RAM, 256GB SSD Windows 11 + Keyboard Flash Light","₦ 350,000","₦ 400,000",5
DELL Latitude 3180 Intel Celeron 128GB SSD 4GB RAM Wins 10pro + Bag,"₦ 190,000","₦ 250,000",5
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/1TB SSD/Win11+BAG,"₦ 560,000","₦ 950,000",4.2
"Hp CHROMEBOOK 11 ,INTEL CELERON,4GB RAM,32GB SSD","₦ 140,000",No old_price,No rating
Hp liteBook 840 G6 Intel Core I5-16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Wins 11 Pro +BAG,"₦ 500,000",No old_price,No rating
"Hp CHROMEBOOK 11 ,INTEL CELERON,4GB RAM,64GB SSD","₦ 145,000",No old_price,No rating
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse & USB Light For Keyboard,"₦ 190,000","₦ 875,000",No rating
Hp Stream- Intel Celeron - 32GB SSD 4GB RAM Windows 10 PRO+ USB Light For Keyboard,"₦ 155,000",No old_price,No rating
"Apple MacBook Pro 14"" Laptop - M3 Pro Chip - 18GB  - 14-core GPU - 512 SSD - Space Black/2023","₦ 3,350,000",No old_price,5
Hp Chromebook 11 Celeron 2gb RAM 32gb Windows10,"₦ 130,000","₦ 145,000",No rating
Hp EliteBook 840 G7 TOUCHSCREEN 10TH GEN Core I5-16GB RAM/1TB SSD/Backlit Keyboard-WIN 11 Pro+ BAG,"₦ 720,000","₦ 890,000",No rating
"DELL Latitude 3190 2in1 X360 INTEL PENTIUM, Touchscreen 256GB SSD 8GB WIN 10 Pro","₦ 250,000",No old_price,No rating
Hp ELITEBOOK X360 830 G7 TOUCHSCREEN CORE I5/16GB RAM/512GB SSD/BACKLIT KEYBOARD /FP READER- WINDOW 11,"₦ 650,000","₦ 740,000",4.8
Acer ASPIRE 5 256GB 8GB AMD RYZEN5,"₦ 585,600",No old_price,5
"Hp Stream 11 Mini Intel Celeron Dual Core,11.6Inches,(32GB SSD,4GB RAM+32GB Flash,Mouse,USB Light For Keyboard) Windows 10","₦ 190,000","₦ 875,000",2
Hp EliteBook 845 G8 - Ryzen 5 Pro 5650U/AMD 2.3 - 16GB RAM/512GB SSD WIN 11 PRO+BAG,"₦ 580,000","₦ 850,000",3.7
"Hp CHROMEBOOK 11 , INTEL CELERON, 4GB RAM,64GB EMMC + FLASH","₦ 145,000",No old_price,No rating
Hp STREAM 11 LAPTOP-CELERON-64 SSD 4GB RAM Windows 10 PRO+  & USB Light For Keyboard,"₦ 160,000","₦ 250,000",4
"Hp Envy 15 X360 Touchscreen-13th Gen Intel Core I7, 16GB RAM,1TB SSD, Backlit Keyboard, Wins 11","₦ 1,750,000","₦ 1,990,911",No rating
Hp Spectre 16 X360 (2024) - 14th Gen Intel Core Ultra 7 155H Processor - 16.0'' 2.8K OLED Touchscreen - 32GB RAM / 1TB SSD - 6GB Nvidia GeForce RTX 4050 - Fingerprint Reader / 9MP IR Webcam - Rechargeable Pen + USB-C Multi-Port Hub - Windows 11,"₦ 3,599,000","₦ 4,500,000",No rating
Hp EliteBook 840 G5 Intel Core I5-TOUCHSCREEN 16GB RAM/512GB SSD/Backlit Keyboard/FP Wins 11 Pro + BAG,"₦ 510,000","₦ 580,000",No rating
Hp ProBook 11 X360- TOUCHSCREEN Intel Pentium 128GB SSD- 4GB RAM WINDOWS10 Pro,"₦ 200,000",No old_price,4.7
Hp EliteBook 840 G6 TOUCHSCREEN Intel Core I5/16GB RAM/1TB SSD WINDOW 11PRO +BAG,"₦ 585,000","₦ 980,000",No rating
DELL Latitude 7490 TOUCHSCREEN Intel Core I7- 512GB SSD/16GB RAM -BACKLIGHT KEYBOARD WIN 11PRO+BAG,"₦ 610,000","₦ 900,000",3.3
Hp EliteBook 845 G8 - Ryzen 5 Pro 5650U/AMD 2.3 - 16GB RAM/512GB SSD WIN 11 PRO+BAG,"₦ 700,000","₦ 730,000",No rating
Hp EliteBook 840 G6 Intel Core I5- Backlit Keyboard /FP Reader 16GB RAM/512 SSD Windows 11 Pro +BAG,"₦ 510,000","₦ 860,000",5
Hp Elitebook X2 Intel Core I5 256GB SSD/8GB RAM/Backlit-Keypad - TouchScreen- Windows 10 PRO+ PEN,"₦ 550,000","₦ 850,000",No rating
Hp ProBook 11 X360- 256GB SSD 4GB RAM TC Intel P RAM WIN11 P +,"₦ 199,999",No old_price,No rating
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Win10 P,"₦ 180,999",No old_price,No rating
Hp EliteBook 840 G5 TOUCHSCREEN Core I7-32GB RAM/1TB SSD/Backlit Keyboard/FP Reader WIN 11 Pro+BAG,"₦ 770,000","₦ 900,000",5
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Wins 11 Pro Laptop +BAG,"₦ 569,000","₦ 589,000",No rating
Hp ProBook 11 X360- TOUCH- 512GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 250,000","₦ 350,000",5
Hp EliteBook 840 G6 Intel Core I5- 16GB RAM/512GB SSD + BAG,"₦ 510,000","₦ 935,000",No rating
